date,song,artist,region,rank,views,likes,genre
2025-01-26,ia,clarent,Spain,185,348959745,13035623,Flamenco
2025-01-26,ketu tecre,bad bunny,Spain,181,439871708,14608917,Flamenco
2025-01-26,turista,bad bunny,Spain,124,365965920,18275661,Flamenco
2025-01-26,una noche,alleh & yorghaki,Spain,116,300475680,10494486,Pop
2025-01-19,dtmf,bad bunny,Spain,54,469344846,19125866,Flamenco
2025-01-19,nuevayol,bad bunny,Spain,149,435460534,16604574,Reggaeton
2025-01-19,baile inolvidable,bad bunny,Spain,44,1908330804,73007351,Flamenco
2025-01-19,velda,"bad bunny, omar courtz & dei v",Spain,149,427553086,13018122,Reggaeton
2025-01-19,voy a llevarte pa pr,bad bunny,Spain,55,181554780,5458636,Reggaeton
2025-01-19,capaz,alleh & yorghaki,Spain,128,356269717,15533362,Latin
2025-01-19,weltita,bad bunny & chuwi,Spain,168,450662931,15175049,Pop
2025-01-19,eoo,bad bunny,Spain,74,303120407,10905516,Reggaeton
2025-01-19,mi refe,beele & ovy on the drums,Spain,6,1460476555,131636694,Pop
2025-01-19,perfumito nuevo,bad bunny & rainao,Spain,57,141027123,5753007,Latin
2025-01-19,el club,bad bunny,Spain,5,1893183440,140697869,EDM
2025-01-19,kloufrens,bad bunny,Spain,15,753291548,34902577,Latin
2025-01-19,cafe con ron,bad bunny & los pleneros de la cresta,Spain,113,498534415,14963045,Flamenco
2025-01-19,ketu tecre,bad bunny,Spain,138,193554304,7162914,Flamenco
2025-01-19,el ingeniero,alleh & yorghaki,Spain,160,58907897,2202942,Latin
2025-01-19,turista,bad bunny,Spain,25,1219370615,47860443,Flamenco
2025-01-19,pitorro de coco,bad bunny,Spain,190,243733575,8569088,Latin
2025-01-19,la mudanza,bad bunny,Spain,47,190177794,7357747,Latin
2025-01-19,bokete,bad bunny,Spain,120,444273669,20736864,Latin
2025-01-19,imaginate,danny ocean & kapo,Spain,155,252979974,11440216,Reggaeton
2025-01-19,si antes te hubiera conocido,karol g,Spain,15,856925904,29083403,Flamenco
2025-01-19,gran via,quevedo & aitana,Spain,37,539068154,22005031,Reggaeton
2025-01-19,degenere,myke towers featuring benny blanco,Spain,189,136387978,6016942,Flamenco
2025-01-19,lo que le paso a hawaii,bad bunny,Spain,23,580706595,19076558,Latin
2025-01-19,que pasaria...,rauw alejandro & bad bunny,Spain,1,1581434517,111251026,Pop
2025-01-12,capaz,alleh & yorghaki,Spain,84,469387002,18673261,Latin
2025-01-12,nuevayol,bad bunny,Spain,28,3970955729,169569990,Flamenco
2025-01-12,velda,"bad bunny, omar courtz & dei v",Spain,51,375046608,12647125,Reggaeton
2025-01-12,voy a llevarte pa pr,bad bunny,Spain,159,393101568,18607194,Latin
2025-01-12,baile inolvidable,bad bunny,Spain,11,820032173,29846283,Latin
2025-01-12,dtmf,bad bunny,Spain,183,231768883,8869435,Flamenco
2025-01-12,mi refe,beele & ovy on the drums,Spain,26,551250718,21455287,Latin
2025-01-12,el club,bad bunny,Spain,199,328947260,14310668,Latin
2025-01-12,perfumito nuevo,bad bunny & rainao,Spain,11,645994416,23203809,Pop
2025-01-12,weltita,bad bunny & chuwi,Spain,115,5967752340,195900572,Reggaeton
2025-01-12,gran via,quevedo & aitana,Spain,165,31893770,1418166,Latin
2025-01-12,si antes te hubiera conocido,karol g,Spain,49,918019882,28692966,Flamenco
2025-01-12,pitorro de coco,bad bunny,Spain,91,499163100,19076253,Latin
2025-01-12,imaginate,danny ocean & kapo,Spain,90,328725636,14081820,Latin
2025-01-12,eoo,bad bunny,Spain,151,416166497,13364422,Reggaeton
2025-01-12,degenere,myke towers featuring benny blanco,Spain,125,101490959,3590094,Pop
2025-01-12,ketu tecre,bad bunny,Spain,131,267090858,13331004,Flamenco
2025-01-12,kloufrens,bad bunny,Spain,172,1427823,66519,Pop
2025-01-12,ia,clarent,Spain,164,442567623,17108559,Reggaeton
2025-01-12,se pone las nike,cano,Spain,137,360250352,16719964,Latin
2025-01-12,bokete,bad bunny,Spain,144,250120602,10122271,Pop
2025-01-12,turista,bad bunny,Spain,154,281792439,11512969,Flamenco
2025-01-12,cafe con ron,bad bunny & los pleneros de la cresta,Spain,72,363666635,15951038,Flamenco
2025-01-12,el ingeniero,alleh & yorghaki,Spain,99,308147311,11571332,Latin
2025-01-12,"bzrp music sessions, vol. 61",bizarrap & luck ra,Spain,147,47085755,1790980,Reggaeton
2025-01-05,capaz,alleh & yorghaki,Spain,7,1702076065,168030901,Hip-Hop
2025-01-05,si antes te hubiera conocido,karol g,Spain,162,446755918,17473471,Latin
2025-01-05,gran via,quevedo & aitana,Spain,113,307541333,12435208,Pop
2025-01-05,degenere,myke towers featuring benny blanco,Spain,178,74682879,2787129,Reggaeton
2025-01-05,ia,clarent,Spain,138,254910704,12124234,Reggaeton
2025-01-05,se pone las nike,cano,Spain,168,274164203,12641502,Reggaeton
2025-01-05,te regalo,rels b featuring j abecia,Spain,166,275940063,11021182,Latin
2025-01-05,mi refe,beele & ovy on the drums,Spain,194,499284177,23623534,Latin
2025-01-05,pitorro de coco,bad bunny,Spain,135,379408980,14446417,Flamenco
2025-01-05,imaginate,danny ocean & kapo,Spain,83,212124389,9131691,Pop
2025-01-05,halo,quevedo & la pantera,Spain,113,451707571,21862405,Pop
2025-01-05,se fue,moncho chavea & morad,Spain,63,390006084,12385612,Flamenco
2025-01-05,que pasaria...,rauw alejandro & bad bunny,Spain,93,128255447,6379536,Latin
2025-01-05,khe?,rauw alejandro & romeo santos,Spain,82,301673826,13271027,Latin
2025-01-05,hm hm hm,youka,Spain,101,472532810,15998749,Pop
2025-01-05,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,54,289777146,11109799,Flamenco
2025-01-05,mirame,blessd & ovy on the drums,Spain,28,147842484,5667912,Flamenco
2025-01-05,yo se,yan block & torrres,Spain,126,245698769,7581351,Latin
2025-01-05,apt.,rose & bruno mars,Spain,188,1963293700,91027256,Flamenco
2025-01-05,mr. moondial,quevedo & pitbull,Spain,5,2681150487,239770362,Hip-Hop
2025-01-05,"bzrp music sessions, vol. 61",bizarrap & luck ra,Spain,97,170344466,7362412,Reggaeton
2025-01-05,soltera,shakira,Spain,116,355318698,11203594,Flamenco
2025-01-05,die with a smile,lady gaga & bruno mars,Spain,42,1878954776,74545766,Reggaeton
2025-01-05,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,130,488414889,16895926,Pop
2025-01-05,kassandra,quevedo,Spain,43,2137168632,93406129,Latin
2024-12-29,capaz,alleh & yorghaki,Spain,76,172277715,6108814,Flamenco
2024-12-29,gran via,quevedo & aitana,Spain,84,20539801,871705,Latin
2024-12-29,si antes te hubiera conocido,karol g,Spain,80,5531284660,272050360,Latin
2024-12-29,degenere,myke towers featuring benny blanco,Spain,25,491681023,22026196,Latin
2024-12-29,all i want for christmas is you,mariah carey,Spain,46,18561708574,805187774,Latin
2024-12-29,ia,clarent,Spain,100,119569956,5780431,Pop
2024-12-29,last christmas,wham!,Spain,137,343634224,16137846,Pop
2024-12-29,te regalo,rels b featuring j abecia,Spain,122,48590562,1880773,Latin
2024-12-29,el burrito sabanero,david bisbal,Spain,125,421944535,13094738,Latin
2024-12-29,halo,quevedo & la pantera,Spain,32,299453985,9830575,Latin
2024-12-29,se pone las nike,cano,Spain,64,496847199,17525451,Flamenco
2024-12-29,todo es posible en navidad,david bisbal,Spain,184,456989579,22759438,Flamenco
2024-12-29,hm hm hm,youka,Spain,92,361674651,15960557,Reggaeton
2024-12-29,tengo un pensamiento,amaia,Spain,65,317871191,11719627,Flamenco
2024-12-29,khe?,rauw alejandro & romeo santos,Spain,30,1414450122,63186162,Flamenco
2024-12-29,se fue,moncho chavea & morad,Spain,191,313363080,13736812,Latin
2024-12-29,jingle bell rock,bobby helms,Spain,20,6552118404,222277521,Latin
2024-12-29,mr. moondial,quevedo & pitbull,Spain,24,984798555,37465203,Reggaeton
2024-12-29,mirame,blessd & ovy on the drums,Spain,1,656048282,64885940,Hip-Hop
2024-12-29,que pasaria...,rauw alejandro & bad bunny,Spain,33,638739300,29801393,Reggaeton
2024-12-29,yo se,yan block & torrres,Spain,184,98226646,3977202,Latin
2024-12-29,feliz navidad,jose feliciano,Spain,80,416638586,14870259,Latin
2024-12-29,rockin' around the christmas tree,brenda lee,Spain,137,388202796,15707588,Latin
2024-12-29,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,71,32840019,1383850,Pop
2024-12-29,imaginate,danny ocean & kapo,Spain,69,255495051,11223708,Pop
2024-12-22,capaz,alleh & yorghaki,Spain,108,139893637,4955694,Latin
2024-12-22,gran via,quevedo & aitana,Spain,146,195336914,7086547,Reggaeton
2024-12-22,te regalo,rels b featuring j abecia,Spain,22,107399574,4446587,Reggaeton
2024-12-22,degenere,myke towers featuring benny blanco,Spain,2,1387728376,104078662,Hip-Hop
2024-12-22,si antes te hubiera conocido,karol g,Spain,174,121763531,6081576,Pop
2024-12-22,ia,clarent,Spain,188,499801641,19978639,Reggaeton
2024-12-22,halo,quevedo & la pantera,Spain,115,1129304,41867,Pop
2024-12-22,se pone las nike,cano,Spain,18,428091858,12972037,Reggaeton
2024-12-22,que pasaria...,rauw alejandro & bad bunny,Spain,124,142764309,5701588,Pop
2024-12-22,hm hm hm,youka,Spain,165,450124612,21519696,Reggaeton
2024-12-22,mirame,blessd & ovy on the drums,Spain,126,290714919,10832240,Pop
2024-12-22,khe?,rauw alejandro & romeo santos,Spain,67,407793505,18608255,Flamenco
2024-12-22,el club,bad bunny,Spain,68,346174013,15634448,Flamenco
2024-12-22,yo se,yan block & torrres,Spain,169,135699850,4938674,Pop
2024-12-22,mr. moondial,quevedo & pitbull,Spain,9,2626118576,260728194,Pop
2024-12-22,kassandra,quevedo,Spain,37,790842831,38684287,Latin
2024-12-22,shibatto,quevedo,Spain,173,36136836,1663278,Latin
2024-12-22,imaginate,danny ocean & kapo,Spain,46,799631616,33870935,Flamenco
2024-12-22,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,114,292126312,10996547,Pop
2024-12-22,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,1,845337409,63791826,Hip-Hop
2024-12-22,all i want for christmas is you,mariah carey,Spain,108,7502812280,329183077,Latin
2024-12-22,eta,"roa, de la rose, luar la l, omar courtz & yan block",Spain,53,27764179,1342652,Reggaeton
2024-12-22,soltera,shakira,Spain,62,478854061,23543122,Pop
2024-12-22,2:00 AM,sebastian yatra & bad gyal,Spain,53,336555585,13414137,Flamenco
2024-12-22,apt.,rose & bruno mars,Spain,89,376186539,15434429,Pop
2024-12-15,gran via,quevedo & aitana,Spain,75,209530657,6664039,Flamenco
2024-12-15,si antes te hubiera conocido,karol g,Spain,46,1355331192,64405889,Flamenco
2024-12-15,degenere,myke towers featuring benny blanco,Spain,38,295249175,13216117,Reggaeton
2024-12-15,el club,bad bunny,Spain,63,6447272520,313547745,Latin
2024-12-15,capaz,alleh & yorghaki,Spain,31,49471368,1794380,Flamenco
2024-12-15,ia,clarent,Spain,141,173351609,6295044,Flamenco
2024-12-15,shibatto,quevedo,Spain,104,333414133,10308994,Flamenco
2024-12-15,que pasaria...,rauw alejandro & bad bunny,Spain,61,393596267,17302075,Pop
2024-12-15,te regalo,rels b featuring j abecia,Spain,160,492649161,20429542,Flamenco
2024-12-15,khe?,rauw alejandro & romeo santos,Spain,90,282008353,13233722,Latin
2024-12-15,kassandra,quevedo,Spain,183,131849718,5239485,Latin
2024-12-15,se pone las nike,cano,Spain,32,1275132366,63444046,Flamenco
2024-12-15,mr. moondial,quevedo & pitbull,Spain,61,364522163,11565497,Flamenco
2024-12-15,halo,quevedo & la pantera,Spain,16,12243896,583865,Latin
2024-12-15,yo se,yan block & torrres,Spain,1,448638168,39804762,EDM
2024-12-15,hm hm hm,youka,Spain,104,295094509,10471223,Reggaeton
2024-12-15,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,130,100241177,4099384,Latin
2024-12-15,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,57,450583215,22493253,Reggaeton
2024-12-15,iguales,quevedo,Spain,148,102664520,3949272,Pop
2024-12-15,all i want for christmas is you,mariah carey,Spain,37,2051112038,84259676,Reggaeton
2024-12-15,imaginate,danny ocean & kapo,Spain,51,44405968,1902448,Flamenco
2024-12-15,soltera,shakira,Spain,189,320128670,15293947,Flamenco
2024-12-15,ohnana,kapo,Spain,25,56446447,2035286,Reggaeton
2024-12-15,2:00 AM,sebastian yatra & bad gyal,Spain,178,265733193,12237054,Reggaeton
2024-12-15,star,jc reyes,Spain,9,1689022670,157135177,Pop
2024-12-08,gran via,quevedo & aitana,Spain,81,4254181240,175564401,Pop
2024-12-08,shibatto,quevedo,Spain,51,325816772,14250870,Latin
2024-12-08,si antes te hubiera conocido,karol g,Spain,102,399181383,16130658,Pop
2024-12-08,kassandra,quevedo,Spain,68,338355784,16257617,Pop
2024-12-08,degenere,myke towers featuring benny blanco,Spain,58,335434590,16646425,Latin
2024-12-08,que pasaria...,rauw alejandro & bad bunny,Spain,92,158080391,4849623,Pop
2024-12-08,ia,clarent,Spain,71,395344104,18472492,Reggaeton
2024-12-08,mr. moondial,quevedo & pitbull,Spain,75,191919001,9249976,Flamenco
2024-12-08,se pone las nike,cano,Spain,58,366249310,17696992,Flamenco
2024-12-08,iguales,quevedo,Spain,33,1272720736,54211733,Reggaeton
2024-12-08,khe?,rauw alejandro & romeo santos,Spain,157,301720902,12430917,Flamenco
2024-12-08,halo,quevedo & la pantera,Spain,63,294116683,10176498,Flamenco
2024-12-08,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,187,345608900,13833457,Pop
2024-12-08,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,32,167900884,6700260,Reggaeton
2024-12-08,yo se,yan block & torrres,Spain,45,1872004269,63605482,Latin
2024-12-08,perreito pa llorar,lola indigo & paulo londra,Spain,68,72817978,3610229,Pop
2024-12-08,2:00 AM,sebastian yatra & bad gyal,Spain,138,334886892,16703420,Latin
2024-12-08,soltera,shakira,Spain,131,482750331,14892105,Latin
2024-12-08,los dias contados,quevedo & rels b,Spain,183,64222436,1959030,Latin
2024-12-08,star,jc reyes,Spain,117,203226481,9577223,Pop
2024-12-08,cosas pendientes,maluma,Spain,116,264217627,11558222,Reggaeton
2024-12-08,imaginate,danny ocean & kapo,Spain,66,440806764,16987714,Latin
2024-12-08,ohnana,kapo,Spain,196,2578949600,105605783,Reggaeton
2024-12-08,se fue,rauw alejandro & laura pausini,Spain,131,392929044,14414039,Pop
2024-12-08,ma meilleure ennemie,stromae & pomme,Spain,182,35386275,1627785,Pop
2024-12-01,gran via,quevedo & aitana,Spain,184,415829597,14026639,Reggaeton
2024-12-01,kassandra,quevedo,Spain,39,713106376,28537873,Reggaeton
2024-12-01,shibatto,quevedo,Spain,88,455070935,20576788,Reggaeton
2024-12-01,iguales,quevedo,Spain,43,2116951061,69613814,Flamenco
2024-12-01,los dias contados,quevedo & rels b,Spain,84,288003057,11389316,Reggaeton
2024-12-01,mr. moondial,quevedo & pitbull,Spain,79,7990076540,327424290,Flamenco
2024-12-01,halo,quevedo & la pantera,Spain,189,1377038,48758,Reggaeton
2024-12-01,que pasaria...,rauw alejandro & bad bunny,Spain,101,221505655,7817216,Flamenco
2024-12-01,si antes te hubiera conocido,karol g,Spain,70,445546888,18294400,Latin
2024-12-01,chapiadora.com,quevedo,Spain,171,46118945,1850989,Latin
2024-12-01,14 febreros,quevedo & sin nombre,Spain,15,678363079,22532475,Reggaeton
2024-12-01,duro,quevedo,Spain,169,54178024,2130274,Latin
2024-12-01,por atras,quevedo,Spain,115,85904417,2685432,Reggaeton
2024-12-01,khe?,rauw alejandro & romeo santos,Spain,125,193323666,7920011,Flamenco
2024-12-01,amanecio,"quevedo, de la rose & de la ghetto",Spain,192,294154112,13617410,Flamenco
2024-12-01,degenere,myke towers featuring benny blanco,Spain,163,201440118,9399799,Pop
2024-12-01,la 125,quevedo & yung beef,Spain,63,417833634,14024827,Flamenco
2024-12-01,ia,clarent,Spain,161,106078205,4034559,Flamenco
2024-12-01,se pone las nike,cano,Spain,106,244464414,9148614,Latin
2024-12-01,noemu,quevedo,Spain,46,40845190,1725533,Latin
2024-12-01,buenas noches,quevedo,Spain,84,335055416,15181112,Reggaeton
2024-12-01,te falle,quevedo & sech,Spain,17,673826673,27556127,Latin
2024-12-01,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,1,662482660,63892048,Hip-Hop
2024-12-01,el estribillo,quevedo,Spain,127,317970328,11447207,Latin
2024-12-01,se fue,rauw alejandro & laura pausini,Spain,6,2709708623,213061131,Hip-Hop
2024-11-24,que pasaria...,rauw alejandro & bad bunny,Spain,14,627014000,27439939,Flamenco
2024-11-24,si antes te hubiera conocido,karol g,Spain,45,33485240,1624063,Latin
2024-11-24,ia,clarent,Spain,79,483860457,16577749,Reggaeton
2024-11-24,degenere,myke towers featuring benny blanco,Spain,128,178897737,7324577,Flamenco
2024-11-24,se fue,rauw alejandro & laura pausini,Spain,107,352272284,15807136,Reggaeton
2024-11-24,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,59,216322400,8933721,Reggaeton
2024-11-24,se pone las nike,cano,Spain,184,52627830,2475096,Reggaeton
2024-11-24,khe?,rauw alejandro & romeo santos,Spain,163,442231139,13657348,Pop
2024-11-24,+57,"karol g, feid & dfzm featuring ovy on the drums, j balvin, maluma, ryan castro & blessd",Spain,124,148997511,6018502,Latin
2024-11-24,nueva era,duki & myke towers,Spain,180,26278747,802063,Pop
2024-11-24,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,50,552307624,23661117,Reggaeton
2024-11-24,soltera,shakira,Spain,72,1834641580,76308011,Latin
2024-11-24,star,jc reyes,Spain,152,69334261,3361541,Flamenco
2024-11-24,ohnana,kapo,Spain,152,212702021,9876838,Pop
2024-11-24,tu con el,rauw alejandro,Spain,12,177708377,7541233,Flamenco
2024-11-24,revolu,rauw alejandro & feid,Spain,81,482569736,18257516,Flamenco
2024-11-24,yo se,yan block & torrres,Spain,63,499899068,18980850,Flamenco
2024-11-24,uwaie,kapo,Spain,160,395156118,15856739,Flamenco
2024-11-24,que pecao,manuel turizo & kapo,Spain,170,13350244,448046,Latin
2024-11-24,me has invitado a bailar,dani fernandez,Spain,112,45732449,1928936,Flamenco
2024-11-24,luna llena,beny jr,Spain,50,144073351,4585032,Reggaeton
2024-11-24,la reina,lola indigo,Spain,182,139762277,5881824,Flamenco
2024-11-24,imaginate,danny ocean & kapo,Spain,173,200421856,9497590,Pop
2024-11-24,duro,quevedo,Spain,131,102174295,3951164,Flamenco
2024-11-24,santa,"rvssian, rauw alejandro & ayra starr",Spain,33,886163115,29482029,Reggaeton
2024-11-17,ia,clarent,Spain,82,149407399,5466288,Flamenco
2024-11-17,degenere,myke towers featuring benny blanco,Spain,64,478374520,16477891,Latin
2024-11-17,si antes te hubiera conocido,karol g,Spain,11,1408575716,58375565,Reggaeton
2024-11-17,+57,"karol g, feid & dfzm featuring ovy on the drums, j balvin, maluma, ryan castro & blessd",Spain,130,118542470,4777117,Pop
2024-11-17,nueva era,duki & myke towers,Spain,164,334791573,16202419,Latin
2024-11-17,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,110,325832829,13347998,Pop
2024-11-17,duro,quevedo,Spain,157,156407058,7323016,Pop
2024-11-17,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,69,157294747,7730338,Reggaeton
2024-11-17,soltera,shakira,Spain,142,230733232,10961694,Reggaeton
2024-11-17,se pone las nike,cano,Spain,183,19575595,954878,Reggaeton
2024-11-17,star,jc reyes,Spain,150,494499444,21995202,Flamenco
2024-11-17,ohnana,kapo,Spain,55,92492164,4480053,Reggaeton
2024-11-17,luna llena,beny jr,Spain,7,90831834,6813839,EDM
2024-11-17,uwaie,kapo,Spain,128,101091360,4384952,Latin
2024-11-17,tambien,myke towers,Spain,158,447481674,14975067,Reggaeton
2024-11-17,que pecao,manuel turizo & kapo,Spain,53,382804892,13631166,Latin
2024-11-17,la reina,lola indigo,Spain,51,202246668,8644676,Flamenco
2024-11-17,me has invitado a bailar,dani fernandez,Spain,83,452734608,20846662,Reggaeton
2024-11-17,imperio,duki & judeline,Spain,94,272134787,9396861,Flamenco
2024-11-17,rapapa,jc reyes,Spain,192,366555894,12818872,Latin
2024-11-17,die with a smile,lady gaga & bruno mars,Spain,147,352303524,14509861,Reggaeton
2024-11-17,santa,"rvssian, rauw alejandro & ayra starr",Spain,78,248780876,9977790,Pop
2024-11-17,yo se,yan block & torrres,Spain,154,72549564,2678321,Latin
2024-11-17,luna,feid & atl jacob,Spain,131,64075835,2960416,Reggaeton
2024-11-17,peligrosa,floyymenor,Spain,14,962237002,39417572,Flamenco
2024-11-10,degenere,myke towers featuring benny blanco,Spain,17,100241441,3246045,Latin
2024-11-10,duro,quevedo,Spain,166,220035662,10258767,Pop
2024-11-10,ia,clarent,Spain,133,185124195,7356404,Latin
2024-11-10,si antes te hubiera conocido,karol g,Spain,74,391661316,13516029,Flamenco
2024-11-10,nueva era,duki & myke towers,Spain,159,317611862,15067413,Flamenco
2024-11-10,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,33,15954660,565742,Latin
2024-11-10,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,178,260166634,9197215,Reggaeton
2024-11-10,soltera,shakira,Spain,88,261067274,8836259,Flamenco
2024-11-10,luna llena,beny jr,Spain,35,148652562,5943509,Latin
2024-11-10,tambien,myke towers,Spain,73,338901823,13168450,Latin
2024-11-10,ohnana,kapo,Spain,33,332736524,14926118,Reggaeton
2024-11-10,uwaie,kapo,Spain,99,431523435,13071494,Reggaeton
2024-11-10,star,jc reyes,Spain,120,424302739,20407569,Pop
2024-11-10,rapapa,jc reyes,Spain,64,223624674,10740305,Latin
2024-11-10,imperio,duki & judeline,Spain,119,290416921,13895161,Pop
2024-11-10,que pecao,manuel turizo & kapo,Spain,117,38035889,1213226,Latin
2024-11-10,la reina,lola indigo,Spain,75,134686367,4704437,Latin
2024-11-10,peligrosa,floyymenor,Spain,117,63004605,2410181,Latin
2024-11-10,santa,"rvssian, rauw alejandro & ayra starr",Spain,161,423939545,13001570,Latin
2024-11-10,me has invitado a bailar,dani fernandez,Spain,15,1218611480,39672328,Reggaeton
2024-11-10,constelacion,duki & lia kali,Spain,161,241059643,9906181,Pop
2024-11-10,luna,feid & atl jacob,Spain,38,922809838,40380668,Reggaeton
2024-11-10,buscarte lejos,duki & bizarrap,Spain,132,295341294,14183060,Pop
2024-11-10,die with a smile,lady gaga & bruno mars,Spain,34,1233443868,49180149,Pop
2024-11-10,celine,kidd keo featuring ghost killer track,Spain,153,470863617,23337507,Flamenco
2024-11-03,degenere,myke towers featuring benny blanco,Spain,169,59237746,2928285,Reggaeton
2024-11-03,ia,clarent,Spain,35,1741639359,65489495,Reggaeton
2024-11-03,si antes te hubiera conocido,karol g,Spain,13,2176791827,107635573,Latin
2024-11-03,q u e v a s h a c e r h o y ?,omar courtz & de la rose,Spain,21,491527555,15952944,Reggaeton
2024-11-03,"duro de verdad, pt.2",los sufridos & bad gyal,Spain,51,308915691,12157139,Latin
2024-11-03,soltera,shakira,Spain,13,17740724617,733564646,Latin
2024-11-03,luna llena,beny jr,Spain,18,941337674,34699784,Pop
2024-11-03,uwaie,kapo,Spain,54,230294606,9959627,Flamenco
2024-11-03,ohnana,kapo,Spain,168,222315677,7783294,Reggaeton
2024-11-03,tambien,myke towers,Spain,76,477963703,23101971,Reggaeton
2024-11-03,que pecao,manuel turizo & kapo,Spain,142,374774562,16464654,Latin
2024-11-03,peligrosa,floyymenor,Spain,89,469910287,22808463,Latin
2024-11-03,me has invitado a bailar,dani fernandez,Spain,128,453550282,20296048,Flamenco
2024-11-03,la reina,lola indigo,Spain,21,373204363,14462073,Reggaeton
2024-11-03,rapapa,jc reyes,Spain,118,41496345,1539813,Pop
